"","Species","Extent","X_round","Y_round","Occurrence"
"9710","Leontodon.hispidus","Alps",4318750,2682250,1
"9711","Leontodon.hispidus","Alps",4525650,2682250,1
"9712","Leontodon.hispidus","Alps",4713950,2682250,1
"9713","Leontodon.hispidus","Alps",4714750,2682250,1
"9714","Leontodon.hispidus","Alps",4741750,2682350,1
"9715","Leontodon.hispidus","Alps",4488150,2682450,1
"9716","Leontodon.hispidus","Alps",4503950,2682450,1
"9717","Leontodon.hispidus","Alps",4741950,2682450,1
"9718","Leontodon.hispidus","Alps",4742050,2682450,1
"9719","Leontodon.hispidus","Alps",4503650,2682550,1
"9720","Leontodon.hispidus","Alps",4609050,2682550,1
"9721","Leontodon.hispidus","Alps",4517150,2682750,1
"9722","Leontodon.hispidus","Alps",4386850,2682850,1
"9723","Leontodon.hispidus","Alps",4218250,2682950,1
"9724","Leontodon.hispidus","Alps",4422650,2683050,1
"9725","Leontodon.hispidus","Alps",4516450,2683050,1
"9726","Leontodon.hispidus","Alps",4573350,2683050,1
"9727","Leontodon.hispidus","Alps",4710850,2683150,1
"9728","Leontodon.hispidus","Alps",4641650,2683250,1
"9729","Leontodon.hispidus","Alps",4712350,2683250,1
"9730","Leontodon.hispidus","Alps",4525550,2683350,1
"9731","Leontodon.hispidus","Alps",4527050,2683350,1
"9732","Leontodon.hispidus","Alps",4580950,2683350,1
"9733","Leontodon.hispidus","Alps",4527850,2683450,1
"9734","Leontodon.hispidus","Alps",4503550,2683650,1
"9735","Leontodon.hispidus","Alps",4803850,2683850,1
"9736","Leontodon.hispidus","Alps",4585350,2683950,1
"9737","Leontodon.hispidus","Alps",4585450,2684050,1
"9738","Leontodon.hispidus","Alps",4585550,2684050,1
"9739","Leontodon.hispidus","Alps",4307150,2684150,1
"9740","Leontodon.hispidus","Alps",4332450,2684150,1
"9741","Leontodon.hispidus","Alps",4352550,2684150,1
"9742","Leontodon.hispidus","Alps",4638650,2684150,1
"9743","Leontodon.hispidus","Alps",4486150,2684250,1
"9744","Leontodon.hispidus","Alps",4486850,2684250,1
"9745","Leontodon.hispidus","Alps",4491550,2684350,1
"9746","Leontodon.hispidus","Alps",4584450,2684350,1
"9747","Leontodon.hispidus","Alps",4584550,2684350,1
"9748","Leontodon.hispidus","Alps",4712350,2684350,1
"9749","Leontodon.hispidus","Alps",4492950,2684450,1
"9750","Leontodon.hispidus","Alps",4527850,2684550,1
"9751","Leontodon.hispidus","Alps",4583250,2684550,1
"9752","Leontodon.hispidus","Alps",4583950,2684550,1
"9753","Leontodon.hispidus","Alps",4584350,2684550,1
"9754","Leontodon.hispidus","Alps",4699350,2684550,1
"9755","Leontodon.hispidus","Alps",4583450,2684650,1
"9756","Leontodon.hispidus","Alps",4583550,2684650,1
"9757","Leontodon.hispidus","Alps",4307750,2684750,1
"9758","Leontodon.hispidus","Alps",4583350,2684750,1
"9759","Leontodon.hispidus","Alps",4583650,2684750,1
"9760","Leontodon.hispidus","Alps",4583950,2684750,1
"9761","Leontodon.hispidus","Alps",4583350,2684850,1
"9762","Leontodon.hispidus","Alps",4583550,2684850,1
"9763","Leontodon.hispidus","Alps",4583950,2684850,1
"9764","Leontodon.hispidus","Alps",4583550,2684950,1
"9765","Leontodon.hispidus","Alps",4583650,2684950,1
"9766","Leontodon.hispidus","Alps",4425550,2685050,1
"9767","Leontodon.hispidus","Alps",4583550,2685050,1
"9768","Leontodon.hispidus","Alps",4583850,2685050,1
"9769","Leontodon.hispidus","Alps",4583550,2685150,1
"9770","Leontodon.hispidus","Alps",4583750,2685150,1
"9771","Leontodon.hispidus","Alps",4309850,2685250,1
"9772","Leontodon.hispidus","Alps",4547450,2685250,1
"9773","Leontodon.hispidus","Alps",4583750,2685250,1
"9774","Leontodon.hispidus","Alps",4808050,2685250,1
"9775","Leontodon.hispidus","Alps",4583550,2685350,1
"9776","Leontodon.hispidus","Alps",4711450,2685350,1
"9777","Leontodon.hispidus","Alps",4388650,2685450,1
"9778","Leontodon.hispidus","Alps",4712250,2685450,1
"9779","Leontodon.hispidus","Alps",4526250,2685550,1
"9780","Leontodon.hispidus","Alps",4645250,2685550,1
"9781","Leontodon.hispidus","Alps",4528550,2685650,1
"9782","Leontodon.hispidus","Alps",4605150,2685650,1
"9783","Leontodon.hispidus","Alps",4699250,2685650,1
"9784","Leontodon.hispidus","Alps",4714450,2685650,1
"9785","Leontodon.hispidus","Alps",4486250,2685950,1
"9786","Leontodon.hispidus","Alps",4308350,2686050,1
"9787","Leontodon.hispidus","Alps",4388850,2686050,1
"9788","Leontodon.hispidus","Alps",4573250,2686350,1
"9789","Leontodon.hispidus","Alps",4384550,2686450,1
"9790","Leontodon.hispidus","Alps",4429550,2686550,1
"9791","Leontodon.hispidus","Alps",4712150,2686550,1
"9792","Leontodon.hispidus","Alps",4308750,2686650,1
"9793","Leontodon.hispidus","Alps",4384550,2686650,1
"9794","Leontodon.hispidus","Alps",4427150,2686650,1
"9795","Leontodon.hispidus","Alps",4428750,2686650,1
"9796","Leontodon.hispidus","Alps",4526250,2686650,1
"9797","Leontodon.hispidus","Alps",4580050,2686650,1
"9798","Leontodon.hispidus","Alps",4712950,2686650,1
"9799","Leontodon.hispidus","Alps",4713650,2686650,1
"9800","Leontodon.hispidus","Alps",4526950,2686750,1
"9801","Leontodon.hispidus","Alps",4699250,2686750,1
"9802","Leontodon.hispidus","Alps",4384650,2686850,1
"9803","Leontodon.hispidus","Alps",4529950,2686850,1
"9804","Leontodon.hispidus","Alps",4558050,2686850,1
"9805","Leontodon.hispidus","Alps",4384750,2686950,1
